YEAR,LOBBYIST_LAST_NAME,LOBBYIST_FIRST_NAME,EMPLOYER
2019,REISCH,MG TIM,Department of the Military
2019,HARDING,STEVE,Department of the Military
2019,HOHN,CONNIE,Department of the Military
2019,EDMAN,JIM,Bureau of Info and Tele
2019,SNOW,PAT,Bureau of Info and Tele
2019,BOOTH,DEANNE,Bureau of Info and Tele
2019,HAYDEN-MORELAND,WAYNE,Bureau of Info and Tele
2019,RAE,TONY,Bureau of Info and Tele
2019,OVERGAARD,JULIE,Bureau of Info and Tele
2019,PIERCE,JEFF,Bureau of Info and Tele
2019,ROHRER,LARRY,Bureau of Info and Tele
2019,Jost,Amanda,Bureau of Info and Tele
2019,Larson,Deb,Bureau of Info and Tele
2019,Flute,David,Department of Tribal Relations
2019,Leidholt,Mike,Department of Corrections
2019,Humig,Danna,Department of Corrections
2019,Schlimgen,Catherine,Department of Corrections
2019,Weeldreyer,Darwin,Department of Corrections
2019,Edson,Kim,Department of Corrections
2019,Coppersmith,Bridget,Department of Corrections
2019,Young,Darin,Department of Corrections
2019,MILLER,AARON,Department of Corrections
2019,FEILER,LAURIE,Department of Corrections
2019,SNYDER,CANDY,Department of Corrections
2019,BUNKERS,KRISTI,Department of Corrections
2019,WINDER,MICHAEL,Department of Corrections
2019,MILLER,MELISSA,Real Estate Commission
2019,IVERSEN-POLLREISZ,AMY,Department of Social Services
2019,TIDBALL-ZELTINGER,BRENDA,Department of Social Services
2019,MIKKONEN,LAURIE,Department of Social Services
2019,RINGLING,LAURA,Department of Social Services
2019,WIESELER,VIRGENA,Department of Social Services
2019,SNYDER,WILLIAM,Department of Social Services
2019,DESAUTEL,GREG,Department of Social Services
2019,Nelson,Becky,Department of Education
2019,Jones,Dr. Ben,Department of Education
2019,Flett,Matt,Department of Education
2019,Vogt,Jay,Department of Education
2019,Scheibe,Laura,Department of Education
2019,Carter,Sarah,Department of Education
2019,Larson,Jacquie,Department of Education
2019,Turner,Linda,Department of Education
2019,ARENZ,BRETT,Department of Education
2019,FARRIS,HOLLY,Department of Education
2019,STADICK SMITH,MARY,Department of Education
2019,Almond,Travis,South Dakota Retirement System
2019,Smith,Dawn,South Dakota Retirement System
2019,Fiddler,Doug,South Dakota Retirement System
2019,Johns,James,South Dakota Retirement System
2019,Storm,Jacque,South Dakota Retirement System
2019,Wylie,Rob,South Dakota Retirement System
2019,Schrader,Paul,South Dakota Retirement System
2019,Stroeder,Eric,South Dakota Retirement System
2019,Beer,Jane,South Dakota Retirement System
2019,Miller,Dr. Mendel,Animal Industry Board
2019,Oedekoven,Dr. Dustin,Animal Industry Board
2019,WILLIAMS,LARA,Bureau of Finance and Management
2019,Templeton,Don,Bureau of Finance and Management
2019,Christopherson,Dustin,Bureau of Finance and Management
2019,KOHLER,STEVEN,Bureau of Finance and Management
2019,JOHNSON,DEREK,Bureau of Finance and Management
2019,KEELER,COLIN,Bureau of Finance and Management
2019,KEELER,MARY,Bureau of Finance and Management
2019,QUASNEY,MARK,Bureau of Finance and Management
2019,ROTH,KELSEY,Bureau of Finance and Management
2019,SKIPPER,BRITTNI,Bureau of Finance and Management
2019,SENGER,KEITH,Bureau of Finance and Management
2019,CLARK,LIZA,Bureau of Finance and Management
2019,GETZ,HALLIE,Bureau of Finance and Management
2019,JOHNSON,NATE,Department of Tourism
2019,HAGEN,JIM,Department of Tourism
2019,GOODMAN,WANDA,Department of Tourism
2019,HULSTEIN,KIRK,Department of Tourism
2019,GUSSIAAS,MIKE,Department of Tourism
2019,DOVRE,TRAVIS,Department of Tourism
2019,CORNELISON,MIKE,School and Public Lands
2019,KNAPP,RENEE,School and Public Lands
2019,LAURITSEN,MIKE,School and Public Lands
2019,LINGLE,NORM,SD Lottery
2019,HEPPER,CLARK,SD Lottery
2019,HELLAND,TOM,SD Lottery
2019,FREKING,JEREMY,Department of Agriculture and Natural Resources
2019,SANDERSON,BRYAN,Department of Agriculture and Natural Resources
2019,WAIBEL,ASHLEY,Department of Agriculture and Natural Resources
2019,Runyan,Taya,Department of Agriculture and Natural Resources
2019,Smith,Bill,Department of Agriculture and Natural Resources
2019,Hanson,Dani,Department of Agriculture and Natural Resources
2019,Josten,Greg,Department of Agriculture and Natural Resources
